date,promo_rate,tail_mean_h4
2023-06-01,0.193548,-0.3895
2023-06-02,0.266667,-0.0386
2023-06-05,0.025641,0.1276
2023-06-06,0.142857,-0.7268
2023-06-07,0.200000,0.0239
2023-06-08,0.095238,-0.1357
2023-06-09,0.285714,0.2909
2023-06-12,0.200000,-0.1294
2023-06-13,0.090909,0.1109
2023-06-14,0.172414,0.0713
2023-06-15,0.125000,0.1390
2023-06-16,0.064516,0.0098
2023-06-19,0.152174,-0.0478
2023-06-20,0.114286,-0.3611
2023-06-21,0.151515,-0.6838
2023-06-26,0.230769,-0.2866
2023-06-27,0.095238,0.0572
2023-06-28,0.045455,0.0141
2023-06-29,0.120000,-0.1903
2023-06-30,0.068182,-0.0639
2023-07-03,0.166667,-0.0229
2023-07-04,0.034483,0.3782
2023-07-05,0.095238,-0.2517
2023-07-06,0.058824,-0.0205
2023-07-07,0.160000,-0.2888
2023-07-10,0.222222,0.1610
2023-07-11,0.071429,0.2963
2023-07-12,0.217391,-0.5772
2023-07-13,0.115385,0.0603
2023-07-14,0.166667,-0.1604
2023-07-17,0.121212,0.3547
2023-07-18,0.040000,-0.0809
2023-07-19,0.000000,0.0674
2023-07-20,0.263158,-0.5005
2023-07-21,0.157895,-0.0267
2023-07-24,0.055556,0.0039
2023-07-25,0.235294,0.1114
2023-07-26,0.130435,0.1180
2023-07-27,0.285714,-0.2780
2023-07-28,0.105263,0.0772
2023-07-31,0.216216,0.1649
2023-08-01,0.033333,0.2116
2023-08-02,0.259259,0.1205
2023-08-03,0.000000,0.1255
2023-08-04,0.166667,-0.2326
2023-08-07,0.538462,0.1189
2023-08-08,0.142857,0.0876
2023-08-09,0.120000,0.0536
2023-08-10,0.055556,0.2659
2023-08-11,0.105263,-0.6057
2023-08-14,0.222222,0.5483
2023-08-15,0.166667,0.2505
2023-08-16,0.083333,-0.3791
2023-08-17,0.235294,0.6723
2023-08-18,0.103448,-0.9288
2023-08-21,0.333333,-0.5300
2023-08-22,0.176471,1.6320
2023-08-23,0.200000,-1.1152
2023-08-24,0.222222,-0.4130
2023-08-25,0.120000,-0.7594
2023-08-28,0.312500,-0.8619
2023-08-29,0.142857,0.0524
2023-08-30,0.093750,0.1915
2023-08-31,0.153846,-0.1468
2023-09-01,0.100000,0.0743
2023-09-04,0.117647,0.4190
2023-09-05,0.055556,0.0752
2023-09-06,0.200000,0.0369
2023-09-07,0.066667,-0.1675
2023-09-08,0.181818,-0.1312
2023-09-11,0.133333,-0.0441
2023-09-12,0.200000,-0.1043
2023-09-13,0.142857,0.5036
2023-09-14,0.142857,0.4531
2023-09-15,0.333333,0.1413
2023-09-18,0.095238,0.1040
2023-09-19,0.093750,0.0613
2023-09-20,0.066667,-0.2147
2023-09-21,0.142857,0.0509
2023-09-22,0.250000,0.4453
2023-09-25,0.200000,-0.0037
2023-09-26,0.235294,-0.3043
2023-09-27,0.350000,-0.2881
2023-09-28,0.095238,-0.0268
2023-10-09,0.344828,0.0848
2023-10-10,0.131579,0.0085
2023-10-11,0.185185,-0.2760
2023-10-12,0.111111,0.1324
2023-10-13,0.181818,0.1351
2023-10-16,0.230769,0.1427
2023-10-17,0.097561,0.2123
2023-10-18,0.272727,-0.1258
2023-10-19,0.130435,-0.2488
2023-10-20,0.294118,-0.4102
2023-10-23,0.142857,-0.2896
2023-10-24,0.125000,0.4520
2023-10-25,0.156863,-0.0794
2023-10-26,0.186047,0.5587
2023-10-27,0.181818,-0.0769
2023-10-30,0.105263,0.0196
2023-10-31,0.060000,0.3313
2023-11-01,0.086957,0.0673
2023-11-02,0.107143,-0.2275
2023-11-03,0.117647,-0.1019
2023-11-06,0.142857,0.2064
2023-11-07,0.227273,0.0382
2023-11-08,0.250000,0.3112
2023-11-09,0.161290,-0.0252
2023-11-10,0.300000,0.0707
2023-11-13,0.181818,0.1804
2023-11-14,0.120000,0.2933
2023-11-15,0.346154,0.2025
2023-11-16,0.057143,-0.3352
2023-11-17,0.318182,0.3084
2023-11-20,0.166667,0.1524
2023-11-21,0.275000,-0.4993
2023-11-22,0.269231,-0.5009
2023-11-23,0.192308,0.2093
2023-11-24,0.280000,0.0062
2023-11-27,0.117647,0.0809
